r2, X, Y, Z
0.000000, 0.000000, 0.000000, 0.000000
-0.000028, 0.036466, -0.015594, 0.049948
-0.006393, 0.115885, 0.294783, -0.187136
-0.029123, 0.076034, 0.347996, -1.100651
-0.261491, 0.322397, 0.686991, -1.180630
-0.209032, 1.210521, 0.149485, -1.155158
0.004312, 0.250814, 0.103225, 0.166562
0.359337, 1.166076, 0.876903, 0.351418
0.149771, 0.844064, 0.487983, 0.363620
-0.518736, -1.302161, 0.457058, 0.871587
0.001413, 0.539422, -0.273949, -0.009564
0.000692, -0.169675, -0.002244, 1.818368
-0.150581, -0.328640, 0.265281, 1.727202
-0.228431, 1.233205, 0.455222, -0.406908
-0.263198, 1.672022, 0.312772, -0.503283
-0.001282, 0.202477, 0.090694, -0.069802
-0.000330, -0.064762, 0.058051, 0.087856
-0.003789, -0.421591, 1.165678, 0.007709
-0.014444, 0.223588, 1.667647, -0.038738
-0.935600, 1.108729, 0.567455, -1.487076
-0.828285, 1.281253, 0.418251, -1.545639
0.024307, 0.099998, -0.223476, -1.087681
-0.762960, 1.128662, 0.680098, -0.993954
0.068156, 0.217693, 0.518132, 0.604255
0.622533, 0.544742, 2.426535, 0.470961
0.105029, 0.084205, 1.016305, 1.227300
0.022695, -0.138610, 0.596404, -0.274528
-0.002124, 0.341606, -0.011820, 0.526091
0.035203, 0.907614, 0.878181, 0.044166
-0.448353, 0.681339, 0.507157, -1.297521
-0.132074, 0.970433, 0.092910, -1.464842
-0.436441, -1.577741, 0.680909, 0.406257
9.803555, 1.610299, 2.836598, 2.146245
0.030731, 0.217492, 0.304558, 0.463941
-0.000124, 0.107526, 0.025588, -0.044967
